,Rank,Name,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Country/Region
48,Reporter,UIN Sulthan Thaha Saifuddin Jambi,"16,859",47.5,1%,56:44:00,Indonesia
49,Reporter,UBT,"9,757",15.5,4%,45:55:00,Kosovo
50,Reporter,Ubon Ratchathani University,"15,717",22.1,0%,67:33:00,Thailand
51,Reporter,Turin Polytechnic University in Tashkent,"1,752",18.8,4%,0.602083333,Uzbekistan
52,Reporter,Trinity Laban Conservatoire of Music and Dance,"1,180",9.8,31%,67:33:00,United Kingdom
53,Reporter,Toyama Prefectural University,"1,630",8.2,2%,26 : 74,Japan
54,Reporter,Tomsk State Pedagogical University,"5,032",19.8,6%,80:20:00,Russian Federation
55,Reporter,Tashkent State University of Economics,"8,304",14.2,1%,27 : 73,Uzbekistan
56,Reporter,Tokyo University of Foreign Studies,"4,413",17.9,11%,66:34:00,Japan
57,Reporter,Tikrit University,"36,905",13.1,0%,36 : 64,Iraq
58,Reporter,Termez Institute of Engineering and Technology,"4,296",36.7,0%,0.684027778,Uzbekistan
59,Reporter,Termez State University,"25,070",35.7,1%,49:51:00,Uzbekistan
60,Reporter,Tenri University,"3,147",22.5,5%,34 : 66,Japan
61,Reporter,University of Telafer,"1,456",30.3,0%,44:56:00,Iraq
62,Reporter,Institut Teknologi Nasional Bandung (ITENAS Bandung),"5,548",23.0,0%,27 : 73,Indonesia
63,Reporter,Instituto Tecnológico Metropolitano,"25,333",28.6,0%,44:56:00,Colombia
64,Reporter,Tecnológico de Costa Rica,"10,651",13.8,2%,35 : 65,Costa Rica
65,Reporter,Tecmilenio University,"2,932",16.5,1%,45:55:00,Mexico
66,Reporter,Tatung University,"4,036",19.6,3%,39 : 61,Taiwan
67,Reporter,Tashkent Institute of Textile and Light Industry,"4,266",11.7,0%,40 : 60,Uzbekistan
68,Reporter,Tashkent State Transport University,"17,319",24.9,0%,0.438194444,Uzbekistan
69,Reporter,Tashkent State Technical University,"14,591",14.2,0%,0.765972222,Uzbekistan
70,Reporter,Tashkent State University of Oriental Studies,"4,291",16.1,1%,51:49:00,Uzbekistan
71,Reporter,Université Sultan Moulay Slimane,"31,042",50.0,0%,51:49:00,Morocco
72,Reporter,Tashkent State University of Law,"4,819",10.6,1%,27 : 73,Uzbekistan
73,Reporter,Tashkent State Dental Institute,"4,609",8.9,3%,52:48:00,Uzbekistan
74,Reporter,Tashkent State Agrarian University,"11,560",13.5,0%,51:49:00,Uzbekistan
75,Reporter,Tashkent Pharmaceutical Institute,"3,313",12.2,13%,64:36:00,Uzbekistan
76,Reporter,Tashkent Pediatric Medical Institute,"5,704",10.1,1%,50:50:00,Uzbekistan
77,Reporter,Tashkent Medical Academy,"6,495",8.8,2%,42:58:00,Uzbekistan
78,Reporter,Tashkent Institute of Irrigation and Agricultural Mechanisation,"5,750",7.1,5%,24 : 76,Uzbekistan
79,Reporter,Tashkent University of Information Technologies,"14,404",15.5,0%,0.970833333,Uzbekistan
80,Reporter,Tashkent Institute of Finance,"8,370",21.2,1%,29 : 71,Uzbekistan
81,Reporter,Tarsus University,"2,556",27.8,2%,42:58:00,Turkey
82,Reporter,Tarlac Agricultural University,"5,351",24.3,0%,56:44:00,Philippines
83,Reporter,Tama Art University,"4,719",32.8,11%,73:27:00,Japan
84,Reporter,University of Taipei,"7,988",17.6,2%,60:40:00,Taiwan
85,Reporter,Tafila Technical University,"4,094",21.9,1%,43:57:00,Jordan
86,Reporter,Széchenyi István University,"9,299",14.7,5%,43:57:00,Hungary
87,Reporter,Suratthani Rajabhat University,"12,086",24.6,0%,71:29:00,Thailand
88,Reporter,Sulaimani Polytechnic University,"3,762",11.4,0%,50:50:00,Iraq
89,Reporter,Sugiyama Jogakuen University,"6,064",29.4,0%,100:00:00,Japan
90,Reporter,University of Suffolk,"3,245",16.6,14%,71:29:00,United Kingdom
91,Reporter,Suez University,"18,010",21.8,2%,55:45:00,Egypt
92,Reporter,Stranmillis University College,"1,060",23.6,18%,79:21:00,United Kingdom
93,Reporter,"St Marys University, Twickenham","4,740",18.2,25%,54:46:00,United Kingdom
94,Reporter,"St Marys University College, Belfast",915,22.9,48%,74:26:00,United Kingdom
95,Reporter,State University of Land Use Planning,"4,202",13.4,5%,51:49:00,Russian Federation
96,Reporter,State Energy Institute of Turkmenistan,"2,134",11.5,2%,28 : 72,Turkmenistan
97,Reporter,State University of Bahia,"20,384",10.2,0%,67:33:00,Brazil
98,Reporter,Sri Padmavati Mahila Visvavidyalayam (Women's University),"5,475",19.6,6%,83:17:00,India
99,Reporter,Sri Lanka Institute of Information Technology,"11,151",38.7,0%,37 : 63,Sri Lanka
