,Rank,Name,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Country/Region
350,Reporter,University of the Highlands and Islands,"7,200",130.9,12%,61:39:00,United Kingdom
351,Reporter,"University of Health Sciences, Turkey","21,322",9.0,5%,34 : 66,Turkey
352,Reporter,University of Health and Allied Sciences,"6,445",23.5,0%,62:38:00,Ghana
353,Reporter,Hawler Medical University,"4,152",7.2,1%,63:37:00,Iraq
354,Reporter,Hassiba Benbouali University of Chlef,"30,121",22.3,1%,71:29:00,Algeria
355,Reporter,Hartpury University,"1,655",23.6,10%,64:36:00,United Kingdom
356,Reporter,Harper Adams University,"2,195",13.3,11%,58:42:00,United Kingdom
357,Reporter,Gulf College,"2,780",27.5,3%,40 : 60,Oman
358,Reporter,Guildhall School of Music and Drama,995,5.2,34%,50:50:00,United Kingdom
359,Reporter,Grodno State Medical University,"4,700",8.4,26%,71:29:00,Belarus
360,Reporter,Gregory University Uturu,"2,025",7.3,0%,62:38:00,Nigeria
361,Reporter,Greenwich University,"1,261",15.6,3%,35 : 65,Pakistan
362,Reporter,"The Graduate University for Advanced Studies, SOKENDAI",506,0.4,31%,29 : 71,Japan
363,Reporter,"Government College Women University, Sialkot","7,023",34.8,0%,100:00:00,Pakistan
364,Reporter,Government College Women University Faisalabad,"14,424",56.3,0%,100:00:00,Pakistan
365,Reporter,Gomel State Medical University,"3,642",8.5,20%,66:34:00,Belarus
366,Reporter,University of Gloucestershire,"6,605",17.2,11%,60:40:00,United Kingdom
367,Reporter,Glasgow School of Art,"2,240",16.0,44%,67:33:00,United Kingdom
368,Reporter,Fergana Polytechnic Institute,"14,812",23.6,0%,0.888888889,Uzbekistan
369,Reporter,GLA University,"9,680",17.2,0%,27 : 73,India
370,Reporter,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,"2,046",20.5,0%,0.479166667,Pakistan
371,Reporter,General Sir John Kotelawala Defence University,"5,136",21.0,2%,48:52:00,Sri Lanka
372,Reporter,Future University in Egypt,"9,066",10.7,10%,43:57:00,Egypt
373,Reporter,Fundación Universitaria del Área Andina,"40,193",35.9,0%,60:40:00,Colombia
374,Reporter,Fundação Oswaldo Cruz,"3,699",,%,,Brazil
375,Reporter,Fukui Prefectural University,"1,772",10.9,1%,51:49:00,Japan
376,Reporter,University of Franca,"50,760",160.6,0%,57:43:00,Brazil
377,Reporter,Fountain University,"1,420",18.9,0%,59:41:00,Nigeria
378,Reporter,First Technical University,"2,442",29.1,0%,29 : 71,Nigeria
379,Reporter,"Federal University of Technology, Owerri","22,610",18.7,0%,31 : 69,Nigeria
380,Reporter,"Federal University of Technology, Minna","24,671",27.8,0%,25 : 75,Nigeria
381,Reporter,"Federal University of Petroleum Resources, Effurun","7,313",39.7,0%,0.765972222,Nigeria
382,Reporter,Federal University of Latin American Integration (UNILA),"4,774",11.8,31%,50:50:00,Brazil
383,Reporter,Federal University of Lafia,"12,456",22.8,0%,40 : 60,Nigeria
384,Reporter,Federal University of Kashere,"10,121",21.4,0%,30 : 70,Nigeria
385,Reporter,Federal University Gashua,"1,091",3.3,0%,0.479166667,Nigeria
386,Reporter,Falmouth University,"4,800",17.8,14%,57:43:00,United Kingdom
387,Reporter,Externado University of Colombia,"12,370",13.0,1%,58:42:00,Colombia
388,Reporter,"Evangel University, Akaeze",987,5.7,0%,47:53:00,Nigeria
389,Reporter,European University of Valencia,"2,169",8.8,50%,58:42:00,Spain
390,Reporter,European University Cyprus,"5,229",19.4,49%,58:42:00,Cyprus
391,,Explore,,,,,Universidade Estadual de Goiás
392,,Brazil,,,,,ESIC
393,,Spain,,,,,Explore
394,Reporter,"University of Engineering and Technology, Mardan","1,208",21.6,1%,0.274305556,Pakistan
395,Reporter,Egypt-Japan University of Science and Technology (E-JUST),539,6.7,3%,33 : 67,Egypt
396,Reporter,Egyptian Russian University,"6,237",13.6,2%,39 : 61,Egypt
397,Reporter,Egerton University,"20,472",40.1,1%,43:57:00,Kenya
398,Reporter,Effat University,"1,067",9.4,26%,99:01:00,Saudi Arabia
399,Reporter,"University of Education, Lahore","27,105",33.1,0%,51:49:00,Pakistan
400,Reporter,Edo State University Uzairue,"1,489",9.5,0%,52:48:00,Nigeria
401,Reporter,Academy of Economic Studies of Moldova,"5,525",25.3,1%,53:47:00,Moldova
402,Reporter,École Polytechnique dArchitecture et dUrbanisme,"1,371",10.1,0%,69:31:00,Algeria
403,Reporter,École Nationale Polytechnique,"1,489",8.7,0%,46:54:00,Algeria
404,Reporter,University of El Oued,"29,028",33.1,0%,59:41:00,Algeria
405,Reporter,Ebonyi State University,"25,204",27.5,0%,50:50:00,Nigeria
406,Reporter,EAN University,"10,000",142.9,0%,,Colombia
407,Reporter,University of Duhok,"23,662",13.5,0%,52:48:00,Iraq
408,Reporter,DHA Suffa University,"1,807",14.5,0%,0.684027778,Pakistan
409,Reporter,University of Dubai,"1,147",27.3,24%,29 : 71,United Arab Emirates
410,Reporter,Dr. M.G.R. Educational and Research Institute,"23,097",13.3,0%,32 : 68,India
411,Reporter,Dostoevsky Omsk State University,"7,355",13.2,6%,63:37:00,Russian Federation
412,Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),"1,068",18.4,2%,60:40:00,Ukraine
413,Reporter,Do?u? University,"9,149",30.2,1%,40 : 60,Turkey
414,Reporter,Denau Institute of Entrepreneurship and Pedagogy,"5,247",21.9,0%,63:37:00,Uzbekistan
415,Reporter,University of Diyala,"29,461",17.9,0%,54:46:00,Iraq
416,Reporter,Dijlah University,"8,864",28.5,0%,43:57:00,Iraq
417,Reporter,Dhonburi Rajabhat University,"4,210",16.1,1%,61:39:00,Thailand
418,Reporter,Dhofar University,"3,122",17.8,6%,56:44:00,Oman
419,Reporter,Dhaka International University,"6,033",29.9,8%,0.765972222,Bangladesh
420,Reporter,University for Development Studies,"20,674",33.9,1%,41:59:00,Ghana
421,Reporter,Derzhavin Tambov State University,"7,985",15.1,33%,56:44:00,Russian Federation
422,Reporter,Deraya University,"4,275",18.9,0%,58:42:00,Egypt
423,Reporter,Delta University for Science and Technology,"8,780",16.9,0%,48:52:00,Egypt
424,Reporter,Universidad del Sinú,"4,350",25.6,0%,57:43:00,Colombia
425,Reporter,Debre Tabor University,"8,414",7.4,0%,41:59:00,Ethiopia
426,Reporter,Daffodil International University (DIU),"16,157",21.1,3%,34 : 66,Bangladesh
427,Reporter,Cyprus Health and Social Sciences University,"2,354",35.1,75%,45:55:00,Northern Cyprus
428,Reporter,C.V. Raman Global University,"6,991",15.8,4%,29 : 71,India
429,Reporter,University of Cumbria,"5,275",15.7,10%,70:30:00,United Kingdom
430,Reporter,Cross River University of Technology,"18,915",40.2,0%,36 : 64,Nigeria
431,Reporter,"City University of Science and Information Technology, Peshawar","4,163",21.3,2%,0.684027778,Pakistan
432,Reporter,University for the Creative Arts,"5,345",18.8,35%,67:33:00,United Kingdom
433,Reporter,Cihan University  Erbil,"4,457",23.3,1%,43:57:00,Iraq
434,Reporter,Cranfield University,"3,135",7.8,68%,30 : 70,United Kingdom
435,Reporter,Courtauld Institute of Art,510,12.8,51%,82:18:00,United Kingdom
436,Reporter,University of Constantine 3,"14,736",16.2,2%,73:27:00,Algeria
437,Reporter,Conservatoire for Dance and Drama,940,10.4,35%,70:30:00,United Kingdom
438,Reporter,Coal City University,461,4.8,0%,48:52:00,Nigeria
439,Reporter,University of Civil Protection,743,3.6,12%,0.479166667,Belarus
440,Reporter,Christ University Bengaluru India,"23,637",20.2,2%,48:52:00,India
441,Reporter,Chitkara University,"12,895",15.5,3%,40 : 60,India
442,,Explore,,,,,University of Chichester
443,,United Kingdom,,,,,Chernihiv National University of Technology
444,,Ukraine,,,,,CETYS Universidad
445,,Mexico,,,,,César Ritz Colleges Switzerland
446,,Switzerland,,,,,CES University
447,,Colombia,,,,,Centro Universitário Max Planck
448,,Brazil,,,,,Centro Universitário de Jaguariúna
449,,Brazil,,,,,University of Central Punjab
450,,Pakistan,,,,,Central European University
451,,Austria,,,,,University of Celaya
452,,Mexico,,,,,CECOS University of IT and Emerging Sciences
453,,Pakistan,,,,,Cebu Technological University
454,,Philippines,,,,,Universidad Católica San Pablo
455,,Peru,,,,,Universidad Católica de Cuenca
456,,Ecuador,,,,,B. S. Abdur Rahman Crescent Institute of Science and Technology
457,,India,,,,,Universidad Católica de Colombia
458,,Colombia,,,,,Catholic University in Erbil
459,,Iraq,,,,,Canadian International College (CIC)  Cairo
460,,Egypt,,,,,Buriram Rajabhat University
461,,Thailand,,,,,Buckinghamshire New University
462,,United Kingdom,,,,,Bowen University
463,,Nigeria,,,,,Botswana International University of Science and Technology (BIUST)
464,,Botswana,,,,,University of Bolton
465,,United Kingdom,,,,,University of Bogotá Jorge Tadeo Lozano
466,,Colombia,,,,,Bishop Grosseteste University
467,,United Kingdom,,,,,University of Bisha
468,,Saudi Arabia,,,,,Birzeit University
469,,Palestine,,,,,Biruni University
470,,Turkey,,,,,Bilecik ?eyh Edebali University
471,,Turkey,,,,,Beykent University
472,,Turkey,,,,,Bernardo OHiggins University
473,,Chile,,,,,Benson Idahosa University
474,,Nigeria,,,,,University of Benghazi
475,,Libya,,,,,Bells University of Technology
476,,Nigeria,,,,,Belarusian State University of Informatics and Radioelectronics
477,,Belarus,,,,,Baze University
478,,Nigeria,,,,,University of Batna 1
479,,Algeria,,,,,Bath Spa University
480,,United Kingdom,,,,,Basrah University College of Science and Technology
481,,Iraq,,,,,Bashkir State Medical University
482,,Russian Federation,,,,,Bartin University
483,,Turkey,,,,,Barawa International University
484,,Somalia,,,,,Bangabandhu Sheikh Mujibur Rahman Agricultural University
485,,Bangladesh,,,,,Bandirma Onyedi Eylül University
486,,Turkey,,,,,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti"
487,,Nigeria,,,,,"Balochistan University of Engineering and Technology, Khuzdar"
488,,Pakistan,,,,,Bakrie University
489,,Indonesia,,,,,Badr University in Cairo (BUC)
490,,Egypt,,,,,Babcock University
491,,Nigeria,,,,,Azerbaijan State University of Economics
492,,Azerbaijan,,,,,Azerbaijan University of Architecture and Construction
493,,Azerbaijan,,,,,Augustine University
494,,Nigeria,,,,,Audencia
495,,France,,,,,Ashur University College
496,,Iraq,,,,,Ashikaga University
497,,Japan,,,,,Asahi University
498,,Japan,,,,,Arts University Plymouth
499,,United Kingdom,,,,,University of the Arts London
500,,United Kingdom,,,,,Antonio Nariño University
501,,Colombia,,,,,Arts University Bournemouth
502,,United Kingdom,,,,,Arab Open University Lebanon
503,,Lebanon,,,,,Arab Open University  Kuwait
504,,Kuwait,,,,,Arab American University
505,,Palestine,,,,,Ankara Science University
506,,Turkey,,,,,Anglo-American University
507,,Czech Republic,,,,,Andrés Bello Catholic University (UCAB)
508,,Venezuela,,,,,Andijan State Medical Institute
509,,Uzbekistan,,,,,"Amity University, Mumbai"
510,,India,,,,,"Amity University Rajasthan, Jaipur"
511,,India,,,,,"Amity University, Gwalior"
512,,India,,,,,"Amity University, Gurugram"
513,,India,,,,,American University of Ras Al Khaimah
514,,United Arab Emirates,,,,,American University of Nigeria
515,,Nigeria,,,,,American University of Madaba
516,,Jordan,,,,,American International University  Bangladesh
517,,Bangladesh,,,,,Alt?nba? University
518,,Turkey,,,,,Al-Quds University
519,,Palestine,,,,,Al-Noor University College
520,,Iraq,,,,,Al-Nahrain University
521,,Iraq,,,,,Al-Muthanna University
522,,Iraq,,,,,Al-Mustaqbal University College
523,,Iraq,,,,,Explore
524,Reporter,Almazov National Medical Research Centre,"1,188",5.0,2%,70:30:00,Russian Federation
525,Reporter,Al-Manara College for Medical Sciences,"4,538",30.9,0%,47:53:00,Iraq
526,Reporter,Al-Maarif University College,"6,000",17.6,1%,60:40:00,Iraq
527,Reporter,Al-Kitab University,"7,206",16.9,0%,32 : 68,Iraq
528,Reporter,Alisher Navoi Tashkent State University of Uzbek Language and Literature,"3,614",12.9,6%,82:18:00,Uzbekistan
529,Reporter,University of Al-Hamdaniya,"2,302",26.5,0%,32 : 68,Iraq
530,Reporter,Al-Esraa University College,"16,150",22.2,0%,,Iraq
531,Reporter,Al-Farahidi University,"17,080",65.9,0%,47:53:00,Iraq
532,Reporter,Al-Farabi University College,"4,309",16.0,0%,36 : 64,Iraq
533,Reporter,Al Ahliyya Amman University,"4,192",11.8,57%,50:50:00,Jordan
534,Reporter,Alex Ekwueme Federal University Ndufu-Alike,"12,962",16.8,0%,52:48:00,Nigeria
535,Reporter,Al-Ayen University,"11,000",51.2,0%,66:34:00,Iraq
536,Reporter,Akwa Ibom State University,"10,026",20.7,0%,42:58:00,Nigeria
537,Reporter,Akita Prefectural University,"1,826",8.5,1%,26 : 74,Japan
538,Reporter,Ajman University,"5,050",16.4,82%,59:41:00,United Arab Emirates
539,Reporter,AKFA University,317,22.6,5%,51:49:00,Uzbekistan
540,Reporter,Ajeenkya DY Patil University,"2,793",16.4,0%,24 : 76,India
541,Reporter,Air University,"6,404",15.2,0%,32 : 68,Pakistan
542,Reporter,Aichi Prefectural University,"3,302",15.2,1%,72:28:00,Japan
543,Reporter,Ahl Al Bayt University,"2,879",14.3,1%,51:49:00,Iraq
544,Reporter,Aga Khan University,"1,356",2.3,1%,65:35:00,Pakistan
545,Reporter,Afe Babalola University,"9,085",11.1,1%,59:41:00,Nigeria
546,,Explore,,,,,AECC University College
547,,United Kingdom,,,,,"Adamawa State University, Mubi"
548,,Nigeria,,,,,Abertay University
549,,United Kingdom,,,,,Abdullah Gül University
550,,Turkey,,,,,University Abdelhamid Ibn Badis Mostaganem
551,,Algeria,,,,,Zonguldak Bülent Ecevit University
552,,Turkey,,,,,Yuri Gagarin State Technical University of Saratov (SSTU)
553,,Russian Federation,,,,,Yeditepe University
554,,Turkey,,,,,Yanshan University
555,,China,,,,,Yamaguchi University
556,,Japan,,,,,Wroc?aw University of Science and Technology
557,,Poland,,,,,West University of Timi?oara
558,,Romania,,,,,University of West Attica
559,,Greece,,,,,University of Warmia and Mazury in Olsztyn
560,,Poland,,,,,Walailak University
561,,Thailand,,,,,VSB - Technical University of Ostrava
562,,Czech Republic,,,,,Explore
563,1501+,Voronezh State University,"15,534",11.7,16%,57:43:00,Russian Federation
564,1501+,V.I. Vernadsky Crimean Federal University (Vernadsky CFU),"21,501",11.2,8%,58:42:00,Ukraine
565,1501+,Vietnam National University (Ho Chi Minh City),"75,704",21.7,1%,46:54:00,Vietnam
566,1501+,Van Yüzüncü Yil University,"20,523",17.0,3%,44:56:00,Turkey
567,1501+,University of Valparaíso,"16,371",18.3,2%,58:42:00,Chile
568,1501+,Utsunomiya University,"4,829",14.1,4%,37 : 63,Japan
569,1501+,U?ak University,"20,902",38.1,11%,47:53:00,Turkey
570,1501+,Universiti Malaysia Sabah (UMS),"17,068",19.0,4%,67:33:00,Malaysia
571,1501+,Universitas Andalas,"32,537",21.6,0%,55:45:00,Indonesia
572,1501+,Ufa State Aviation Technical University,"8,865",13.2,2%,35 : 65,Russian Federation
573,1501+,University of Tyumen,"11,569",15.4,9%,61:39:00,Russian Federation
574,1501+,University of Tunis,"16,418",12.8,2%,68:32:00,Tunisia
575,1501+,Toyo University,"30,465",24.2,6%,43:57:00,Japan
576,1501+,Tottori University,"5,995",8.1,2%,38 : 62,Japan
577,1501+,Tomsk State University of Control Systems and Radioelectronics,"6,185",14.1,14%,32 : 68,Russian Federation
578,1501+,Tokyo University of Pharmacy and Life Sciences,"3,853",18.9,1%,52:48:00,Japan
579,1501+,Tokyo Denki University,"9,846",28.5,3%,0.602083333,Japan
580,1501+,Tokyo City University,"7,415",15.5,2%,24 : 76,Japan
581,1501+,Tokyo University of Agriculture,"12,907",32.7,1%,43:57:00,Japan
582,1501+,Temuco Catholic University,"10,629",12.3,1%,60:40:00,Chile
583,1501+,Telkom University,"18,977",18.2,1%,43:57:00,Indonesia
584,1501+,Universiti Teknologi MARA,"60,563",16.0,1%,67:33:00,Malaysia
585,1501+,Universidade Tecnológica Federal do Paraná (UTFPR),"33,484",12.8,1%,35 : 65,Brazil
586,1501+,Technical University of Sofia,"10,339",11.6,9%,27 : 73,Bulgaria
587,1501+,Technical University of Loja,"51,567",33.4,1%,56:44:00,Ecuador
588,1501+,Technical University of Liberec,"5,222",11.5,11%,52:48:00,Czech Republic
589,1501+,Technical University of Cluj-Napoca,"18,649",20.5,2%,38 : 62,Romania
590,1501+,Tamil Nadu Agricultural University,"6,724",8.7,0%,62:38:00,India
591,1501+,Universitas Sumatera Utara,"36,146",21.1,2%,54:46:00,Indonesia
592,1501+,Süleyman Demirel University,"41,032",34.8,5%,50:50:00,Turkey
593,1501+,State University of Santa Cruz,"6,887",9.4,1%,56:44:00,Brazil
594,1501+,State University of Ponta Grossa,"8,453",9.1,1%,55:45:00,Brazil
595,1501+,Srinakharinwirot University,"26,673",19.6,0%,67:33:00,Thailand
596,1501+,Southwest State University,"6,878",14.0,11%,41:59:00,Russian Federation
597,1501+,Sophia University,"13,402",11.8,12%,60:40:00,Japan
598,,Explore,,,,,University of Sonora
599,,Mexico,,,,,Slovak University of Technology in Bratislava
600,,Slovakia,,,,,Sivas Cumhuriyet University
601,,Turkey,,,,,University of Sistan and Baluchestan
602,,Iran,,,,,Silpakorn University
603,,Thailand,,,,,University of Silesia in Katowice
604,,Poland,,,,,Sichuan University of Science and Engineering
605,,China,,,,,Siberian State Medical University
606,,Russian Federation,,,,,University of Shizuoka
607,,Japan,,,,,Shizuoka University
608,,Japan,,,,,Shimane University
609,,Japan,,,,,SGH Warsaw School of Economics
610,,Poland,,,,,University of Science and Technology of Oran Mohamed-Boudiaf
611,,Algeria,,,,,Satbayev University
612,,Kazakhstan,,,,,San Sebastián University
613,,Chile,,,,,Samara State Technical University
614,,Russian Federation,,,,,Saitama University
615,,Japan,,,,,University of La Sabana
616,,Colombia,,,,,Rzeszów University of Technology
617,,Poland,,,,,Ryukoku University
618,,Japan,,,,,R V College of Engineering
619,,India,,,,,Russian Presidential Academy of National Economy and Public Administration
620,,Russian Federation,,,,,University of Rijeka
621,,Croatia,,,,,Recep Tayyip Erdo?an University
622,,Turkey,,,,,PSG College of Technology
623,,India,,,,,Privolzhsky Research Medical University
624,,Russian Federation,,,,,Prague University of Economics and Business
625,,Czech Republic,,,,,Pontificia Universidad Católica del Ecuador
626,,Ecuador,,,,,Universidad Pontificia Bolivariana (UPB)
627,,Colombia,,,,,Pontifical Catholic University of Minas Gerais
628,,Brazil,,,,,Polytechnic University of Timi?oara
629,,Romania,,,,,Polytechnic University of Bucharest
630,,Romania,,,,,Universidad Politécnica Salesiana
631,,Ecuador,,,,,Platov South-Russian State Polytechnic University (NPI)
632,,Russian Federation,,,,,University of Pernambuco
633,,Brazil,,,,,Perm State University
634,,Russian Federation,,,,,Perm National Research Polytechnic University
635,,Russian Federation,,,,,Penza State University
636,,Russian Federation,,,,,Pedagogical and Technological University of Colombia
637,,Colombia,,,,,Payame Noor University
638,,Iran,,,,,Pavlov First Saint Petersburg State Medical University
639,,Russian Federation,,,,,University of Passo Fundo (UPF)
640,,Brazil,,,,,University of Pardubice
641,,Czech Republic,,,,,Universidad Panamericana (UP)
642,,Mexico,,,,,Universitas Padjadjaran
643,,Indonesia,,,,,Ovidius University of Constan?a
644,,Romania,,,,,Osaka Medical and Pharmaceutical University
645,,Japan,,,,,Osaka Institute of Technology
646,,Japan,,,,,University of Oradea
647,,Romania,,,,,Ondokuz Mayis University
648,,Turkey,,,,,Omsk State Technical University
649,,Russian Federation,,,,,Oita University
650,,Japan,,,,,Ogarev Mordovia State University
651,,Russian Federation,,,,,Ochanomizu University
652,,Japan,,,,,Nueva Granada Military University
653,,Colombia,,,,,Novosibirsk State Technical University
654,,Russian Federation,,,,,University of Novi Sad
655,,Serbia,,,,,Universidade Nove de Julho (Uninove)
656,,Brazil,,,,,Nosov Magnitogorsk State Technical University
657,,Russian Federation,,,,,North-Western State Medical University named after I.I. Mechnikov
658,,Russian Federation,,,,,Northern (Arctic) Federal University named after M.V. Lomonosov
659,,Russian Federation,,,,,North-Eastern Federal University
660,,Russian Federation,,,,,North-Caucasus Federal University
661,,Russian Federation,,,,,Nnamdi Azikiwe University
662,,Nigeria,,,,,Nizhny Novgorod State Technical University
663,,Russian Federation,,,,,National United University
664,,Taiwan,,,,,National Taipei University
665,,Taiwan,,,,,National Kaohsiung University of Science and Technology
666,,Taiwan,,,,,National University of Kaohsiung
667,,Taiwan,,,,,National Ilan University
668,,Taiwan,,,,,National Formosa University
669,,Taiwan,,,,,National University of Córdoba
670,,Argentina,,,,,National Chi Nan University
671,,Taiwan,,,,,National Chiayi University
672,,Taiwan,,,,,National Changhua University of Education
673,,Taiwan,,,,,Naresuan University
674,,Thailand,,,,,Nagoya Institute of Technology
675,,Japan,,,,,Universidad Nacional Mayor de San Marcos
676,,Peru,,,,,Universidad Nacional del Litoral
677,,Argentina,,,,,Mustansiriyah University
678,,Iraq,,,,,Muroran Institute of Technology
679,,Japan,,,,,Université Mouloud Mammeri de Tizi-Ouzou
680,,Algeria,,,,,University of Mosul
681,,Iraq,,,,,Moscow Power Engineering Institute
682,,Russian Federation,,,,,Moscow Polytechnic University
683,,Russian Federation,,,,,University of Montenegro
684,,Montenegro,,,,,University Mohamed Boudiaf of MSila
685,,Algeria,,,,,University of Miyazaki
686,,Japan,,,,,University of Miskolc
687,,Hungary,,,,,MIREA - Russian Technological University
688,,Russian Federation,,,,,Ming Chuan University
689,,Taiwan,,,,,Universidad Michoacana de San Nicolás de Hidalgo
690,,Mexico,,,,,MHamed Bougara University of Boumerdès
691,,Algeria,,,,,Mendeleev University of Chemical Technology
692,,Russian Federation,,,,,Meijo University
693,,Japan,,,,,Meiji University
694,,Japan,,,,,Medical University of Silesia in Katowice
695,,Poland,,,,,Matej Bel University
696,,Slovakia,,,,,Maria Curie-Sk?odowska University (UMCS)
697,,Poland,,,,,Mapúa University
698,,Philippines,,,,,Explore
699,1501+,Mahasarakham University,"37,351",30.0,1%,57:43:00,Thailand
700,1501+,Mackenzie Presbyterian University,"27,482",27.3,0%,59:41:00,Brazil
701,1501+,University of Macerata (UNIMC),"10,561",23.7,5%,76:24:00,Italy
702,1501+,Lucian Blaga University of Sibiu,"13,154",16.5,2%,60:40:00,Romania
703,1501+,Lodz University of Technology,"12,642",17.8,4%,39 : 61,Poland
704,1501+,University of ?ód?,"22,273",16.7,8%,63:37:00,Poland
705,1501+,Latvia University of Life Sciences and Technologies,"3,891",24.9,4%,52:48:00,Latvia
706,1501+,Ladoke Akintola University of Technology,"25,953",53.1,0%,49:51:00,Nigeria
707,1501+,Kyoto Institute of Technology,"3,958",13.4,6%,29 : 71,Japan
708,1501+,Kyoto Sangyo University,"12,110",21.1,2%,34 : 66,Japan
709,1501+,Kwansei Gakuin University,"25,537",24.8,4%,49:51:00,Japan
710,1501+,University of Kufa,"28,175",12.3,0%,65:35:00,Iraq
711,1501+,Kookmin University,"17,238",12.0,11%,49:51:00,South Korea
712,1501+,Kogakuin University,"6,317",17.5,1%,0.847916667,Japan
713,1501+,Kochi University,"5,480",8.2,1%,44:56:00,Japan
714,1501+,Kocaeli University,"67,200",45.7,3%,41:59:00,Turkey
715,1501+,Kirikkale University,"27,790",46.2,2%,49:51:00,Turkey
716,1501+,King Mongkuts Institute of Technology Ladkrabang,"24,243",20.6,1%,54:46:00,Thailand
717,1501+,Kemerovo State University,"15,311",20.8,6%,67:33:00,Russian Federation
718,1501+,Kasetsart University,"68,589",18.4,1%,63:37:00,Thailand
719,1501+,Karadeniz Technical University,"34,824",25.8,4%,44:56:00,Turkey
720,1501+,University of Karachi,"43,740",36.3,0%,57:43:00,Pakistan
721,1501+,Kansai University,"30,335",12.3,3%,41:59:00,Japan
722,1501+,Kanagawa University,"17,457",14.8,4%,30 : 70,Japan
723,1501+,Kagoshima University,"10,326",10.2,2%,37 : 63,Japan
724,1501+,Jean Moulin University  Lyon 3,"27,907",40.6,20%,65:35:00,France
725,1501+,Jan Evangelista Purkyn? University,"7,966",18.1,3%,66:34:00,Czech Republic
726,1501+,Izmir Institute of Technology,"5,542",18.5,3%,46:54:00,Turkey
727,1501+,Iwate University,"5,305",13.1,4%,37 : 63,Japan
728,1501+,Ivanovo State University of Chemistry and Technology,"3,788",18.5,6%,45:55:00,Russian Federation
729,1501+,Ivane Javakhishvili Tbilisi State University,"22,080",29.1,3%,61:39:00,Georgia
730,,Explore,,,,,Islamic University of Indonesia
731,,Indonesia,,,,,I-Shou University
732,,Taiwan,,,,,Irkutsk State University
733,,Russian Federation,,,,,Instituto Politécnico Nacional (IPN)
734,,Mexico,,,,,Inönü University
735,,Turkey,,,,,Industrial University of Tyumen
736,,Russian Federation,,,,,Universidad Industrial de Santander (UIS)
737,,Colombia,,,,,Ibaraki University
738,,Japan,,,,,University of Hyogo
739,,Japan,,,,,Hue University
740,,Vietnam,,,,,Hellenic Open University
741,,Greece,,,,,University of Havana
742,,Cuba,,,,,Université Hassan 1er
743,,Morocco,,,,,Hanoi University of Science and Technology
744,,Vietnam,,,,,Gubkin Russian State University of Oil and Gas
745,,Russian Federation,,,,,University of Guanajuato
746,,Mexico,,,,,University of Guadalajara
747,,Mexico,,,,,Explore
748,1501+,Grigore T. Popa University of Medicine and Pharmacy,"9,605",10.8,27%,68:32:00,Romania
749,1501+,GITAM University,"22,094",14.1,1%,35 : 65,India
750,1501+,Gheorghe Asachi Technical University of Ia?i,"13,884",21.0,9%,30 : 70,Romania
751,1501+,"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures","8,752",14.0,11%,64:36:00,Romania
752,1501+,Gaziantep University,"33,225",38.0,11%,47:53:00,Turkey
753,1501+,Fukuoka University,"19,637",9.5,1%,40 : 60,Japan
754,1501+,University of Fukui,"4,902",8.0,5%,31 : 69,Japan
755,1501+,Universidad de las Fuerzas Armadas  ESPE,"18,562",13.4,0%,37 : 63,Ecuador
756,1501+,Université Frères Mentouri Constantine 1,"36,423",22.2,1%,62:38:00,Algeria
757,1501+,Fluminense Federal University,"70,979",21.1,0%,49:51:00,Brazil
758,1501+,Feng Chia University,"19,298",23.3,7%,39 : 61,Taiwan
759,1501+,Federal University of Vales do Jequitinhonha e Mucuri,"10,708",13.2,0%,59:41:00,Brazil
760,1501+,Federal University of the State of Rio de Janeiro (UNIRIO),"20,874",22.7,8%,,Brazil
761,1501+,Universidade Federal Rural do Semi-Arido,"6,750",10.0,0%,46:54:00,Brazil
762,1501+,Federal Rural University of Pernambuco,"20,185",16.0,0%,48:52:00,Brazil
763,1501+,Federal University of Piauí,"52,000",24.6,0%,,Brazil
764,1501+,Federal University of Pernambuco,"34,356",14.2,1%,50:50:00,Brazil
765,1501+,Federal University of Pelotas,"23,242",17.1,0%,56:44:00,Brazil
766,1501+,Federal University of Paraí­ba (UFPB),"36,815",14.3,0%,51:49:00,Brazil
767,1501+,Federal University of Pará,"43,211",16.3,0%,52:48:00,Brazil
768,1501+,Universidade Federal de Ouro Preto (UFOP),"15,453",17.1,1%,50:50:00,Brazil
769,1501+,Federal University of Mato Grosso do Sul,"26,142",15.6,1%,55:45:00,Brazil
770,1501+,Universidade Federal do Maranhão (UFMA),"32,222",16.2,0%,52:48:00,Brazil
771,1501+,Universidade Federal de Juiz de Fora,"26,085",16.5,0%,54:46:00,Brazil
772,1501+,Federal University of Itajubá,"8,596",17.1,1%,30 : 70,Brazil
773,1501+,Universidade Federal do Vale do São Francisco,"6,395",11.0,0%,49:51:00,Brazil
774,1501+,Universidade Federal do Triângulo Mineiro,"11,992",20.5,0%,59:41:00,Brazil
775,1501+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),"4,882",13.6,1%,70:30:00,Brazil
776,1501+,Universidade Federal do Ceará (UFC),"40,899",19.8,1%,44:56:00,Brazil
